engine,distribution,n_threads,n_draws,t_setup,t_sample
dust,uniform,1024,2048,0.000266413,3.6259e-05
dust,uniform,1024,4096,0.000266131,5.7811e-05
dust,uniform,1024,8192,0.000259643,9.8916e-05
dust,uniform,1024,16384,0.000265249,0.000183192
dust,uniform,1024,32768,0.00027156,0.000351602
dust,uniform,1024,65536,0.000267111,0.00068856
dust,uniform,1024,131072,0.000265908,0.00136331
dust,uniform,1024,262144,0.00026499,0.00270817
dust,uniform,1024,524288,0.000313999,0.00540319
dust,uniform,1024,1048576,0.000262601,0.0107918
dust,uniform,1024,2097152,0.000267185,0.0215658
dust,uniform,2048,1024,0.000508077,2.2653e-05
dust,uniform,2048,2048,0.000522273,3.6195e-05
dust,uniform,2048,4096,0.000521289,0.000120674
dust,uniform,2048,8192,0.000523063,9.988e-05
dust,uniform,2048,16384,0.000520748,0.000181365
dust,uniform,2048,32768,0.000533173,0.000352835
dust,uniform,2048,65536,0.000519381,0.000687771
dust,uniform,2048,131072,0.000520292,0.00136425
dust,uniform,2048,262144,0.00052713,0.00334506
dust,uniform,2048,524288,0.000512351,0.00694034
dust,uniform,2048,1048576,0.000586887,0.0134536
dust,uniform,2048,2097152,0.000508173,0.026899
dust,uniform,4096,1024,0.00152866,0.000110108
dust,uniform,4096,2048,0.00102875,4.0378e-05
dust,uniform,4096,4096,0.00103167,6.8848e-05
dust,uniform,4096,8192,0.00102819,0.00012141
dust,uniform,4096,16384,0.0010276,0.000229524
dust,uniform,4096,32768,0.00102838,0.000467008
dust,uniform,4096,65536,0.00102971,0.000915596
dust,uniform,4096,131072,0.00103038,0.0018336
dust,uniform,4096,262144,0.0010275,0.00364507
dust,uniform,4096,524288,0.00100859,0.00727619
dust,uniform,4096,1048576,0.00102659,0.0146957
dust,uniform,4096,2097152,0.00103064,0.0293351
dust,uniform,8192,1024,0.00200604,3.7486e-05
dust,uniform,8192,2048,0.00204782,5.082e-05
dust,uniform,8192,4096,0.00204525,7.3636e-05
dust,uniform,8192,8192,0.00208601,0.000126777
dust,uniform,8192,16384,0.00200662,0.000309592
dust,uniform,8192,32768,0.00204589,0.000422449
dust,uniform,8192,65536,0.00210455,0.000821354
dust,uniform,8192,131072,0.00205311,0.00161423
dust,uniform,8192,262144,0.00207348,0.00320395
dust,uniform,8192,524288,0.00204425,0.00637369
dust,uniform,8192,1048576,0.0020566,0.013065
dust,uniform,8192,2097152,0.00204183,0.0253925
dust,uniform,16384,1024,0.0040528,5.9149e-05
dust,uniform,16384,2048,0.00408745,7.4708e-05
dust,uniform,16384,4096,0.00420825,0.000122662
dust,uniform,16384,8192,0.00403469,0.00020988
dust,uniform,16384,16384,0.00400057,0.000328896
dust,uniform,16384,32768,0.00403113,0.000627035
dust,uniform,16384,65536,0.00407322,0.00122627
dust,uniform,16384,131072,0.00406943,0.00241144
dust,uniform,16384,262144,0.00398874,0.00478988
dust,uniform,16384,524288,0.00407061,0.00954778
dust,uniform,16384,1048576,0.0041275,0.0190619
dust,uniform,16384,2097152,0.00415907,0.0401716
dust,uniform,32768,1024,0.00803148,0.000157498
dust,uniform,32768,2048,0.00814064,0.000122457
dust,uniform,32768,4096,0.00819017,0.00027232
dust,uniform,32768,8192,0.008139,0.000441019
dust,uniform,32768,16384,0.0080164,0.000638869
dust,uniform,32768,32768,0.00815808,0.00122422
dust,uniform,32768,65536,0.00818554,0.00240093
dust,uniform,32768,131072,0.0082111,0.00474476
dust,uniform,32768,262144,0.00809493,0.0106759
dust,uniform,32768,524288,0.00825424,0.0193627
dust,uniform,32768,1048576,0.00831375,0.0429073
dust,uniform,32768,2097152,0.0080001,0.0892356
dust,uniform,65536,1024,0.0159323,0.000167085
dust,uniform,65536,2048,0.0161285,0.000238248
dust,uniform,65536,4096,0.0161031,0.000382518
dust,uniform,65536,8192,0.0162893,0.000669367
dust,uniform,65536,16384,0.0162682,0.00130681
dust,uniform,65536,32768,0.0160758,0.0023838
dust,uniform,65536,65536,0.0164556,0.00467557
dust,uniform,65536,131072,0.0159128,0.00926345
dust,uniform,65536,262144,0.0159502,0.0186197
dust,uniform,65536,524288,0.0165738,0.0432888
dust,uniform,65536,1048576,0.0163049,0.0845196
dust,uniform,65536,2097152,0.0162549,0.163935
dust,uniform,131072,1024,0.0325272,0.000344505
dust,uniform,131072,2048,0.0326537,0.000501097
dust,uniform,131072,4096,0.0326098,0.00071493
dust,uniform,131072,8192,0.032338,0.00127106
dust,uniform,131072,16384,0.0326587,0.00247147
dust,uniform,131072,32768,0.0331187,0.00467474
dust,uniform,131072,65536,0.0328713,0.00921514
dust,uniform,131072,131072,0.0329347,0.0182977
dust,uniform,131072,262144,0.033583,0.0376806
dust,uniform,131072,524288,0.0326322,0.0858649
dust,uniform,131072,1048576,0.0328752,0.159678
dust,uniform,131072,2097152,0.0322504,0.323592
dust,uniform,262144,1024,0.0646936,0.000389481
dust,uniform,262144,2048,0.0651168,0.000714071
dust,uniform,262144,4096,0.0654359,0.00128682
dust,uniform,262144,8192,0.0655274,0.00238191
dust,uniform,262144,16384,0.0679166,0.00457188
dust,uniform,262144,32768,0.0664433,0.00895182
dust,uniform,262144,65536,0.065774,0.0196913
dust,uniform,262144,131072,0.0648872,0.0400084
dust,uniform,262144,262144,0.0655503,0.088667
dust,uniform,262144,524288,0.0643389,0.155411
dust,uniform,262144,1048576,0.0667501,0.311273
dust,uniform,262144,2097152,0.0649932,0.625569
dust,uniform,524288,1024,0.128974,0.000647371
dust,uniform,524288,2048,0.129168,0.00118162
dust,uniform,524288,4096,0.129318,0.00225765
dust,uniform,524288,8192,0.132199,0.00447531
dust,uniform,524288,16384,0.128867,0.00868978
dust,uniform,524288,32768,0.128704,0.0172691
dust,uniform,524288,65536,0.129001,0.0345117
dust,uniform,524288,131072,0.131126,0.0741717
dust,uniform,524288,262144,0.128955,0.152953
dust,uniform,524288,524288,0.129078,0.306619
dust,uniform,524288,1048576,0.129944,0.613775
dust,uniform,524288,2097152,0.132153,1.34416
dust,uniform,1048576,1024,0.258501,0.00115702
dust,uniform,1048576,2048,0.263479,0.00229414
dust,uniform,1048576,4096,0.259807,0.00441923
dust,uniform,1048576,8192,0.258645,0.00872143
dust,uniform,1048576,16384,0.264211,0.0235333
dust,uniform,1048576,32768,0.258008,0.0487931
dust,uniform,1048576,65536,0.268448,0.0968851
dust,uniform,1048576,131072,0.258814,0.150749
dust,uniform,1048576,262144,0.258183,0.303619
dust,uniform,1048576,524288,0.259024,0.613127
dust,uniform,1048576,1048576,0.257664,1.22783
dust,uniform,1048576,2097152,0.267167,2.47655
dust,uniform,2097152,1024,0.527533,0.00229795
dust,uniform,2097152,2048,0.51465,0.00442064
dust,uniform,2097152,4096,0.517464,0.0118547
dust,uniform,2097152,8192,0.526281,0.023155
dust,uniform,2097152,16384,0.515525,0.0462516
dust,uniform,2097152,32768,0.519719,0.09476
dust,uniform,2097152,65536,0.522208,0.152055
dust,uniform,2097152,131072,0.515851,0.302489
dust,uniform,2097152,262144,0.514657,0.625057
dust,uniform,2097152,524288,0.518054,1.24508
dust,uniform,2097152,1048576,0.515138,2.48793
dust,uniform,2097152,2097152,0.518052,5.10132
